date,team1,team2,team1_score,team2_score,spreads_json
20061107,Houston,Memphis,86,80,"{""19"": [""-4 -110"", ""+4 -110""], ""93"": [""-4.5 -110"", ""+4.5 -110""], ""238"": [""-4.5 -105"", ""+4.5 -105""]}"
20061107,Atlanta,Cleveland,90,90,"{""19"": [""+10.5 -110"", ""-10.5 -110""], ""93"": [""+10.5 -110"", ""-10.5 -110""], ""238"": [""+10.5 -107"", ""-10.5 -103""]}"
20061107,Minnesota,L.A. Lakers,88,95,"{""19"": [""+7.5 -110"", ""-7.5 -110""], ""93"": [""+7.5 -110"", ""-7.5 -110""], ""238"": [""+7.5 -110"", ""-7.5 +100""]}"
20061107,Golden State,New Orleans,93,97,"{""19"": [""+7 -110"", ""-7 -110""], ""93"": [""+7.5 -110"", ""-7.5 -110""], ""238"": [""+7.5 -112"", ""-7.5 +102""]}"
20061107,Philadelphia,Indiana,86,97,"{""19"": [""+4.5 -110"", ""-4.5 -110""], ""93"": [""+4.5 -110"", ""-4.5 -110""], ""238"": [""+4.5 -103"", ""-4.5 -107""]}"
20061108,Phoenix,San Antonio,106,111,"{""19"": [""+5.5 -110"", ""-5.5 -110""], ""93"": [""+5.5 -110"", ""-5.5 -110""], ""238"": [""+5.5 -104"", ""-5.5 -106""]}"
20061108,New York,Denver,109,107,"{""19"": [""+10.5 -110"", ""-10.5 -110""], ""93"": [""+10 -110"", ""-10 -110""], ""238"": [""+10.5 -114"", ""-10.5 +104""]}"
20061108,L.A. Lakers,Portland,90,101,"{""19"": [""-5 -110"", ""+5 -110""], ""93"": [""-4.5 -110"", ""+4.5 -110""], ""238"": [""-4.5 -113"", ""+4.5 +103""]}"
20061108,Houston,Milwaukee,97,93,"{""19"": [""+2.5 -110"", ""-2.5 -110""], ""93"": [""+2.5 -110"", ""-2.5 -110""], ""238"": [""+2.5 -104"", ""-2.5 -106""]}"
20061108,Dallas,L.A. Clippers,85,103,"{""19"": [""+2.5 -110"", ""-2.5 -110""], ""93"": [""+2 -110"", ""-2 -110""], ""238"": [""+2.5 -107"", ""-2.5 -103""]}"
20061108,Utah,Brooklyn,89,96,"{""19"": [""+4 -110"", ""-4 -110""], ""93"": [""+4 -110"", ""-4 -110""], ""238"": [""+4 -108"", ""-4 -102""]}"
20061108,Indiana,Washington,91,117,"{""19"": [""+6 -110"", ""-6 -110""], ""93"": [""+6.5 -110"", ""-6.5 -110""], ""238"": [""+5 +101"", ""-5 -111""]}"
20061108,Charlotte,Boston,100,100,"{""19"": [""+4.5 -110"", ""-4.5 -110""], ""93"": [""+5 -110"", ""-5 -110""], ""238"": [""+4.5 -101"", ""-4.5 -109""]}"
20061108,Detroit,Sacramento,86,99,"{""19"": [""+1.5 -110"", ""-1.5 -110""], ""93"": [""+1.5 -110"", ""-1.5 -110""], ""238"": [""+1.5 -104"", ""-1.5 -106""]}"
20061108,Philadelphia,Toronto,104,106,"{""19"": [""+2.5 -110"", ""-2.5 -110""], ""93"": [""+2.5 -110"", ""-2.5 -110""], ""238"": [""+3 -110"", ""-3 +100""]}"
20061109,New Orleans,Golden State,116,121,"{""19"": [""+1.5 -110"", ""-1.5 -110""], ""93"": [""+1.5 -110"", ""-1.5 -110""], ""238"": [""+1.5 +106"", ""-1.5 -116""]}"
20061109,Dallas,Phoenix,119,112,"{""19"": [""+6.5 -130"", ""-6.5 +110""], ""93"": [""+5 -110"", ""-5 -110""], ""238"": [""+5 -108"", ""-5 -102""]}"
20061109,Chicago,Cleveland,94,113,"{""19"": [""+4 -110"", ""-4 -110""], ""93"": [""+4 -110"", ""-4 -110""], ""238"": [""+4 -105"", ""-4 -105""]}"
20061110,Atlanta,Toronto,111,102,"{""19"": [""+3.5 -110"", ""-3.5 -110""], ""93"": [""+3.5 -110"", ""-3.5 -110""], ""238"": [""+4 -117"", ""-4 +107""]}"
20061110,Miami,Brooklyn,113,106,"{""19"": [""+3.5 -110"", ""-3.5 -110""], ""93"": [""+3.5 -110"", ""-3.5 -110""], ""238"": [""+4 -105"", ""-4 -105""]}"
20061110,Detroit,L.A. Lakers,97,83,"{""19"": [""+5 -110"", ""-5 -110""], ""93"": [""+5.5 -110"", ""-5.5 -110""], ""238"": [""+5.5 -101"", ""-5.5 -109""]}"
20061110,Utah,Boston,107,100,"{""19"": [""-3.5 -110"", ""+3.5 -110""], ""93"": [""-3.5 -110"", ""+3.5 -110""], ""238"": [""-3.5 +102"", ""+3.5 -112""]}"
20061110,Denver,Philadelphia,108,101,"{""19"": [""+1.5 -110"", ""-1.5 -110""], ""93"": [""+1 -110"", ""-1 -110""], ""238"": [""+2.5 -115"", ""-2.5 +105""]}"
20061110,New Orleans,Portland,91,92,"{""19"": [""-2.5 -110"", ""+2.5 -110""], ""93"": [""-2.5 -110"", ""+2.5 -110""], ""238"": [""-2.5 +104"", ""+2.5 -114""]}"
